time ,PhotoD1
0.971603,0.0378281575,
0.581124,0.8275467010,
0.968386,0.0282616738,
0.041438,0.3672386110,
0.188628,0.1748114664,
0.519760,0.5040730092,
0.640854,0.4959861980,
0.340731,0.8648814337,
0.648330,0.5711395831,
0.355438,0.1710155815,
0.850430,0.9083530013,
0.542805,0.6636377269,
0.673080,0.5026889919,
0.256573,0.8220849702,
0.121338,0.2876968379,
0.040606,0.8809650973,
0.887943,0.5314381386,
0.753187,0.0925936438,
0.802079,0.4835442663,
0.441406,0.3217971524,
0.075173,0.5430806466,
0.154230,0.9567038751,
0.247244,0.3675241776,
0.079226,0.0264606840,
0.853160,0.7395105386,
0.157177,0.3248849681,
0.616663,0.6652865344,
0.528450,0.4978462949,
0.191220,0.8576851726,
0.759751,0.7486319657,
0.614998,0.3979158203,
0.152064,0.5141143553,
0.454637,0.5837563279,
0.682098,0.5082437855,
0.281259,0.7338708097,
0.624863,0.7285900667,
0.941730,0.1941297362,
0.566803,0.4548926821,
0.693116,0.5186163053,
0.978586,0.1490857611,
0.899117,0.7819399415,
0.648480,0.1654329795,
0.982921,0.4952239611,
0.163815,0.2591750297,
0.509787,0.6217587370,
0.627348,0.4571117745,
0.800001,0.2554557911,
0.417769,0.5344006226,
0.054834,0.0916214965,
0.519144,0.5615329844,
0.134532,0.8521998769,
0.366974,0.7274906028,
0.696621,0.5386975112,
0.129584,0.6716170759,
0.785850,0.8606825175,
0.050309,0.5519277130,
0.815616,0.9106831153,
0.866939,0.5567495083,
0.196896,0.8583378262,
0.607394,0.4527628056,
0.996680,0.1606159063,
0.042374,0.2372150938,
0.138823,0.6117433753,
0.222954,0.4337217067,
0.583010,0.6071553149,
0.671106,0.2366558351,
0.723196,0.9335249340,
0.504439,0.7034089548,
0.644630,0.6756352577,
0.036369,0.3936358143,
0.193852,0.6475037368,
0.749546,0.4492551505,
0.308178,0.9899717968,
0.749052,0.0936148128,
0.852037,0.4683740522,
0.099355,0.6936822310,
0.597778,0.9418181990,
0.720602,0.6315116588,
0.568714,0.6171159872,
0.235110,0.6435289018,
0.910636,0.1515327368,
0.950620,0.2446682262,
0.516315,0.5501422887,
0.707088,0.2413076179,
0.798795,0.5040638421,
0.199689,0.8012518380,
0.106841,0.6635150382,
0.618575,0.0367733645,
0.022224,0.2080297702,
0.037562,0.4031231510,
0.115364,0.9182382266,
0.818697,0.6079913868,
0.376899,0.2182999748,
0.229156,0.3489155004,
0.368140,0.2679193804,
0.174540,0.3853859275,
0.774780,0.8782751137,
0.330031,0.5550247762,
0.315780,0.3249080661,
0.724587,0.6485357418,
0.584955,0.6104036194,
0.777756,0.0889626291,
0.359576,0.3668054874,
0.184733,0.9399524250,
0.573689,0.9228135126,
0.483095,0.2608572885,
0.421627,0.2645732916,
0.317325,0.7803307972,
0.972572,0.4019077916,
0.258223,0.8864559166,
0.567100,0.4521870640,
0.352067,0.4969885267,
0.312030,0.3729618661,
0.009398,0.3817095419,
0.668127,0.4580856509,
0.885688,0.7177849458,
0.421318,0.7299512685,
0.858580,0.3361320632,
0.947992,0.4642979460,
0.376107,0.3777057126,
0.203293,0.0639498248,
0.179169,0.9827019538,
0.306294,0.5962931822,
0.850312,0.4501368340,
0.525603,0.9720105886,
0.828442,0.6886543937,
0.106876,0.4879833687,
0.617142,0.3573464608,
0.566827,0.4314879452,
0.260936,0.2061947707,
0.002308,0.5448499095,
0.287255,0.9575020875,
0.821270,0.1870051697,
0.895115,0.7702047953,
0.995808,0.8373805010,
0.008438,0.9083137404,
0.732843,0.6306630707,
0.084617,0.5935944489,
0.633349,0.7726026443,
0.805086,0.2730686486,
0.829965,0.0082376150,
0.567221,0.2684188047,
0.260043,0.5338546392,
0.784532,0.2251411315,
0.169205,0.9124910119,
0.274258,0.1127385410,
0.004903,0.2663420432,
0.397561,0.4797960676,
0.026552,0.6609343229,
0.854699,0.8359470913,
0.204892,0.6347127303,
0.860351,0.8068406169,
0.056125,0.5724203364,
0.223512,0.4917113069,
0.045281,0.8015136673,
0.750992,0.4410514005,
0.698056,0.0488697272,
0.918788,0.9874602909,
0.908923,0.7492494783,
0.805524,0.5786447718,
0.999677,0.3341665883,
0.800766,0.5933519929,
0.322915,0.9016442920,
0.025145,0.8429451403,
0.732823,0.8684161339,
0.472787,0.1036371984,
0.392588,0.7873106095,
0.860014,0.4059608947,
0.057462,0.3069668457,
0.384545,0.0265203246,
0.141840,0.7104558756,
0.045681,0.8436275696,
0.697995,0.0498878053,
0.913512,0.2456314031,
0.383546,0.9501568138,
0.243111,0.1100803841,
0.907098,0.9579749883,
0.702018,0.3453860337,
0.895638,0.8804481962,
0.947974,0.2760295075,
0.936692,0.7144485367,
0.996787,0.0497157447,
0.396942,0.1072535622,
0.659936,0.8589907535,
0.822950,0.4242794681,
0.622367,0.5625256850,
0.700506,0.7327245943,
0.489515,0.9608829825,
0.508817,0.0591349839,
0.779713,0.1195660880,
0.040486,0.1308001516,
0.901007,0.8027205155,
0.732046,0.1601708572,
0.615783,0.5255302545,
0.755188,0.7085921529,
0.284467,0.9903962005,
0.206249,0.6104351693,
0.652186,0.2915822973,
0.928120,0.5508801636,
0.804574,0.5407105900,
0.350436,0.9005162709,
0.270188,0.0709286455,
0.744618,0.9837516060,
0.722992,0.9056940051,
0.856720,0.9389926071,
0.918819,0.6718603983,
0.269008,0.7265535208,
0.688152,0.0933698254,
0.617997,0.1354734016,
0.071553,0.8106430816,
0.188398,0.8452925958,
0.335569,0.1029718616,
0.311046,0.7558966611,
0.420204,0.3211737538,
0.087739,0.2382375671,
0.559868,0.8395999289,
0.667625,0.4214440948,
0.115302,0.6599587718,
0.315660,0.0357786992,
0.980796,0.7408030630,
0.885870,0.9975665867,
0.022758,0.3841472764,
0.863286,0.5292566410,
0.244994,0.7841642484,
0.433602,0.1622008024,
0.135376,0.9014195153,
0.215600,0.3102880355,
0.774729,0.6793093142,
0.087186,0.4591853795,
0.400378,0.6641840881,
0.590111,0.6828983171,
0.196524,0.2423286847,
0.696812,0.5437299651,
0.592969,0.1642296324,
0.464190,0.9065886607,
0.241155,0.5727220180,
0.412770,0.8452807890,
0.770494,0.9757021898,
0.035339,0.7963676855,
0.607550,0.5541240349,
0.079474,0.8731062874,
0.415376,0.2675530207,
0.985478,0.9410650049,
0.842648,0.9902633996,
0.052403,0.9173703862,
0.727518,0.0372020722,
0.114958,0.5859803069,
0.485381,0.4210069757,
0.868594,0.0455294782,
0.016704,0.9252143099,
0.818908,0.7513460746,
0.783874,0.0603985924,
0.193708,0.7221340353,
